[2025-07-26 22:12:47] Service de surveillance démarré.
[2025-07-26 22:12:47] Souris - Clic à (963, 265) avec le bouton Button.left
[2025-07-26 22:12:47] Manette - Aucun contrôleur de jeu détecté.
[2025-07-26 22:12:47] Souris - Mouvement à (963, 265)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 266)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 267)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 268)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 270)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 271)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 273)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 274)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 276)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 277)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 280)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 282)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 284)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 286)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 288)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 291)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 295)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 299)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 304)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 309)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 312)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 318)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 322)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 327)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 331)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 336)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 342)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 346)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 348)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 351)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 355)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 359)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 361)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 365)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 367)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 370)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 371)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 374)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 377)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 379)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 382)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 383)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 386)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 388)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 391)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 392)
[2025-07-26 22:12:48] Souris - Mouvement à (963, 395)
